size,num_rooms,distance_city,age,price
138.7,1,22.5,10,76484.49
155.91,5,3.52,17,212604.15
35.07,2,7.75,24,10000.0
149.23,4,7.39,24,114830.82
167.6,1,23.01,6,34611.42
66.6,7,10.76,4,122154.9
46.44,7,10.97,11,146625.13
51.22,4,3.29,12,125929.46
136.87,7,11.49,8,205090.52
161.42,1,25.8,35,59565.22
94.62,4,19.43,15,74888.02
75.39,6,19.79,24,117582.19
59.09,6,8.1,18,85306.03
146.99,2,20.85,34,137121.41
161.92,2,24.83,32,13526.62
185.23,5,26.41,13,136336.56
141.42,4,26.66,26,129522.76
156.65,5,8.62,23,169764.99
182.63,4,11.5,40,158958.97
158.48,7,4.18,25,241331.16
164.65,4,18.3,15,73108.86
72.74,5,25.96,0,59986.22
152.52,6,26.66,30,81072.9
79.9,2,14.16,38,10000.0
178.89,3,29.18,30,10000.0
136.3,7,19.53,24,109745.99
55.98,7,5.68,38,156917.3
131.82,4,1.56,37,83025.39
179.38,7,24.4,10,127525.06
43.39,6,15.09,3,147634.29
159.3,7,4.65,26,225821.87
119.7,5,13.27,8,120005.7
121.68,6,21.01,29,46409.88
93.48,5,14.09,10,160985.78
40.88,1,18.06,9,35835.12
137.29,2,2.95,1,148683.44
86.17,5,7.9,27,119022.05
189.04,5,17.71,10,152680.11
110.41,4,6.52,4,77567.1
109.39,6,2.57,26,179547.86
139.85,1,12.68,14,114329.94
62.34,4,5.07,7,72290.9
108.65,7,27.77,18,143300.31
38.6,5,25.24,39,10000.0
187.48,7,7.86,16,64428.99
183.42,2,11.99,39,83393.42
75.08,7,23.77,11,65861.13
163.17,6,21.83,6,42498.5
80.44,1,17.8,22,43913.88
129.31,5,27.66,21,91638.65
39.67,5,3.32,7,39725.34
69.98,1,28.31,23,10000.0
128.42,1,18.96,17,10000.0
188.9,2,20.42,13,46148.55
75.15,2,20.48,12,10000.0
42.33,4,19.01,23,159066.49
47.0,5,7.18,11,187700.19
179.48,3,9.26,18,67744.17
122.35,3,18.74,39,13148.54
168.91,3,28.02,4,65512.15
179.28,3,4.35,4,125763.4
132.82,6,10.94,27,123324.38
175.0,5,15.17,36,94992.83
102.01,3,2.28,13,83493.01
52.24,3,5.69,18,28480.9
49.02,6,27.21,22,23028.24
171.88,5,17.02,17,167551.62
188.62,7,2.16,14,233272.47
145.95,6,3.98,31,184880.76
135.51,2,27.85,9,26676.59
57.63,7,24.51,35,127967.63
86.47,4,24.26,35,68608.93
167.83,3,5.62,28,93517.57
110.02,2,24.68,18,62459.95
81.88,7,26.27,9,67561.56
77.36,1,29.04,11,10000.0
139.05,4,20.71,34,65941.8
179.1,3,6.18,39,79873.31
75.13,1,18.3,14,54687.56
197.32,1,12.17,23,66512.13
73.3,6,13.65,21,133140.48
189.84,6,20.45,15,55512.48
41.9,6,27.7,25,69212.32
183.01,5,9.97,16,139433.09
98.41,3,17.08,8,24652.92
157.18,2,18.85,12,25145.35
123.15,1,9.81,8,96792.35
84.78,4,13.82,9,45804.05
110.44,7,22.34,26,87576.6
135.27,1,24.73,30,92756.12
144.38,2,24.39,6,201017.67
133.92,7,3.11,17,218281.62
137.06,2,21.83,15,38295.77
146.9,7,25.95,35,90726.26
162.33,2,6.1,38,45217.37
72.36,7,4.52,5,126083.81
108.99,5,29.65,24,202912.21
134.15,6,26.87,17,77710.88
184.17,4,27.02,30,87008.22
72.03,6,9.04,31,72152.43
112.38,2,8.96,3,67327.47
84.35,5,3.34,6,176297.47
95.12,2,21.49,3,10000.0
100.68,2,25.15,16,84507.1
160.87,6,1.57,35,108082.54
190.27,3,22.85,34,11015.77
192.08,4,16.61,29,160541.56
113.0,3,13.64,1,10000.0
87.14,6,24.15,29,156590.01
196.72,5,1.78,16,132793.9
125.95,1,3.43,17,141974.07
74.23,3,7.14,13,33604.61
159.41,4,9.07,38,26095.96
109.95,6,16.64,40,107885.07
89.49,6,2.99,38,113749.32
72.04,7,1.59,6,130772.35
51.46,6,4.32,38,33617.34
92.71,5,18.61,30,106198.37
49.47,7,5.75,12,10000.0
127.89,4,12.5,29,79391.35
42.92,6,25.09,10,69076.16
146.32,7,4.51,39,107005.99
163.05,3,16.45,26,134451.17
32.15,4,24.85,4,109961.41
193.33,6,26.86,18,145818.44
118.7,6,8.83,32,114868.35
121.49,4,14.48,33,53877.21
71.73,1,9.09,18,31658.1
157.58,5,18.7,15,213249.88
60.91,2,11.29,10,67953.49
77.54,5,21.33,11,214623.61
44.55,6,12.79,22,100028.18
70.86,4,19.73,20,97145.76
67.67,6,8.06,27,82536.04
92.73,5,16.4,17,96675.69
149.49,3,9.89,9,49943.26
152.62,3,4.47,21,144542.85
66.79,4,9.02,24,71490.32
